"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile"
"l10n_bd_3202","Other Reserves",3202,"equity","l10n_bd.bd_chart_template","account.account_tag_financing","False"
"l10n_bd_3203","Adjustment of Equity Reserves",3203,"equity","l10n_bd.bd_chart_template","account.account_tag_financing","False"
"l10n_bd_331","Retained Earnings",331,"equity","l10n_bd.bd_chart_template","account.account_tag_financing","False"
"l10n_bd_332","Current Year Earnings",332,"equity_unaffected","l10n_bd.bd_chart_template","account.account_tag_financing","False"
"l10n_bd_4101","Sales",4101,"income","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_4102","Returns, Rebates and Discounts of Goods and/or Services",4102,"income","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_4201","Interest on Bank Deposits",4201,"income","l10n_bd.bd_chart_template","account.account_tag_investing","False"
"l10n_bd_4202","Interest on Temporary Investments",4202,"income","l10n_bd.bd_chart_template","account.account_tag_investing","False"
"l10n_bd_4203","Other Financial Income",4203,"income","l10n_bd.bd_chart_template","account.account_tag_investing","False"
"l10n_bd_4301","Adjustment for Inflation and Property Ownership",4301,"income","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_4302","Income from Sale of Securities",4302,"income","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_4303","Exchange Gain",4303,"income","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_4304","Other Income",4304,"income_other","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5101","Product Costs",5101,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5102","Freight and Transportation of Products",5102,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5103","Returns on Purchases",5103,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5104","Discounts on Purchases",5104,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5105","Cost of Damaged Products",5105,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5201","Costs of Sale - Wages and Salaries",5201,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5202","Costs of Sale - Social Benefits",5202,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5203","Costs of Sale - Sales Commissions",5203,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5204","Costs of Sale - Per diems",5204,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5205","Costs of Sale - Tickets",5205,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5206","Costs of Sale - Advertising",5206,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5207","Costs of Sale - Depreciation of Fixed Assets",5207,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5208","Costs of Sale - Loss on Bad Accounts",5208,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5209","Other Costs of Sale",5209,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_52091","Transaction Tax",52091,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_52092","IT Withholdings",52092,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_52093","IUE Withholdings",52093,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53001","Administration Expenses - Wages and Salaries",53001,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53002","Administration Expenses - Social Benefits",53002,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53003","Administrative Expenses - Provision for Christmas Bonuses",53003,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53004","Administration Expenses - Provision for Compensations",53004,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53005","Administration Expenses - Per diem",53005,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53006","Administration Expenses - Tickets",53006,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53007","Administration Expenses - Basic Services",53007,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53008","Administration Expenses - Materials and Supplies",53008,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53009","Administration Expenses - Freight and Transportation",53009,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53010","Administration Expenses - Maintenance and Repair",53010,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53011","Administration Expenses - Depreciation of Fixed Assets",53011,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53012","Administration Expenses - Rentals",53012,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53013","Administration Expenses - Insurance",53013,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53014","Administration Expenses - Security Service",53014,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53015","Administration Expenses - General Expenses",53015,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_53016","Other Administrative Expenses",53016,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5401","Interest on Bank Loans",5401,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5402","Interest on Other Financial Obligations",5402,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5403","Other Interests",5403,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5404","Bank Fees",5404,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5405","Other Financial Expenses",5405,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_550","Other Operational Expenses",550,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5601","Adjustment for Inflation and Property Ownership",5601,"expense_depreciation","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5602","Exchange Loss",5602,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_5603","Other Expenses",5603,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_570","Corporate Income Tax",570,"expense","l10n_bd.bd_chart_template","account.account_tag_operating","False"
